the max acc is 9930
no.	acc	ninas	ntk	tot
9930	73.493	1.400	0.425	1.825
===========================================================================
the problems are here (45):
no.	acc	ninas	ntk	tot
10854	1.000	-inf	-2.569	-3.858	-inf
10950	1.000	-inf	-2.569	-3.858	-inf
11330	1.000	-inf	-2.569	-3.858	-inf
11381	1.000	-inf	-2.569	-3.858	-inf
11409	1.000	-inf	-2.569	-3.858	-inf
11498	1.000	-inf	-2.569	-3.858	-inf
11545	1.000	-inf	-2.569	-3.858	-inf
11575	1.000	-inf	-2.569	-3.858	-inf
11716	1.000	-inf	-2.569	-3.858	-inf
11759	1.000	-inf	-2.569	-3.858	-inf
11804	1.000	-inf	-2.569	-3.858	-inf
11813	1.000	-inf	-2.569	-3.858	-inf
11868	1.000	-inf	-2.569	-3.858	-inf
11877	1.000	-inf	-2.569	-3.858	-inf
11908	1.000	-inf	-2.569	-3.858	-inf
11941	1.000	-inf	-2.569	-3.858	-inf
12181	1.000	-inf	-2.569	-3.858	-inf
12265	1.000	-inf	-2.569	-3.858	-inf
12308	1.000	-inf	-2.569	-3.858	-inf
12321	1.000	-inf	-2.569	-3.858	-inf
12463	1.000	-inf	-2.569	-3.858	-inf
12561	1.000	-inf	-2.569	-3.858	-inf
12746	1.000	-inf	-2.569	-3.858	-inf
12762	1.000	-inf	-2.569	-3.858	-inf
12909	1.000	-inf	-2.569	-3.858	-inf
12925	1.000	-inf	-2.569	-3.858	-inf
12979	1.000	-inf	-2.569	-3.858	-inf
13070	1.000	-inf	-2.569	-3.858	-inf
13179	1.000	-inf	-2.569	-3.858	-inf
13184	1.000	-inf	-2.569	-3.858	-inf
13233	1.000	-inf	-2.569	-3.858	-inf
13286	1.000	-inf	-2.569	-3.858	-inf
13324	1.000	-inf	-2.569	-3.858	-inf
13429	1.000	-inf	-2.569	-3.858	-inf
13527	1.000	-inf	-2.569	-3.858	-inf
13668	1.000	-inf	-2.569	-3.858	-inf
13699	1.000	-inf	-2.569	-3.858	-inf
13747	1.000	-inf	-2.569	-3.858	-inf
13896	1.000	-inf	-2.569	-3.858	-inf
13971	1.000	-inf	-2.569	-3.858	-inf
14015	1.000	-inf	-2.569	-3.858	-inf
14017	1.000	-inf	-2.569	-3.858	-inf
14128	1.000	-inf	-2.569	-3.858	-inf
14163	1.000	-inf	-2.569	-3.858	-inf
14311	1.000	-inf	-2.569	-3.858	-inf
14387	1.000	-inf	-2.569	-3.858	-inf
14395	1.000	-inf	-2.569	-3.858	-inf
14485	1.000	-inf	-2.569	-3.858	-inf
14595	1.000	-inf	-2.569	-3.858	-inf
14626	1.000	-inf	-2.569	-3.858	-inf
14659	1.000	-inf	-2.569	-3.858	-inf
14672	1.000	-inf	-2.569	-3.858	-inf
14715	1.000	-inf	-2.569	-3.858	-inf
14929	1.000	-inf	-2.569	-3.858	-inf
14935	1.000	-inf	-2.569	-3.858	-inf
14942	1.000	-inf	-2.569	-3.858	-inf
14947	1.000	-inf	-2.569	-3.858	-inf
14948	1.000	-inf	-2.569	-3.858	-inf
15051	1.000	-inf	-2.569	-3.858	-inf
15059	1.000	-inf	-2.569	-3.858	-inf
15077	1.000	-inf	-2.569	-3.858	-inf
15115	1.000	-inf	-2.569	-3.858	-inf
15211	1.000	-inf	-2.569	-3.858	-inf
15229	1.000	-inf	-2.569	-3.858	-inf
15240	1.000	-inf	-2.569	-3.858	-inf
15465	1.000	-inf	-2.569	-3.858	-inf
15482	1.000	-inf	-2.569	-3.858	-inf
15579	1.000	-inf	-2.569	-3.858	-inf
15614	1.000	-inf	-2.569	-3.858	-inf
12721	9.720	-3.784	-2.182	-1290.362	-1294.146
6477	9.770	-3.766	-2.183	-788.460	-792.226
12105	29.090	-3.730	-2.212	-606.125	-609.855
5963	10.400	-3.712	-2.179	-581.667	-585.379
53	10.420	-3.594	-2.178	-575.380	-578.974
11317	9.947	-3.752	-2.178	-462.595	-466.347
4799	9.740	-3.633	-2.182	-406.642	-410.275
3948	9.827	-3.718	-2.180	-402.978	-406.696
12084	10.110	-3.793	-2.182	-368.963	-372.756
9307	9.540	-3.614	-2.181	-338.799	-342.413
2177	33.547	-3.557	-2.206	-333.908	-337.466
5681	10.660	-3.623	-2.174	-301.564	-305.187
11121	32.110	-3.614	-2.207	-285.885	-289.499
6846	10.267	-3.844	-2.178	-272.922	-276.766
15568	9.887	-3.736	-2.178	-262.258	-265.994
8613	31.580	-3.747	-2.210	-260.289	-264.036
365	32.040	-3.575	-2.208	-252.577	-256.152
6921	9.953	-3.670	-2.178	-241.923	-245.593
8981	9.753	-3.723	-2.181	-238.441	-242.164
11875	31.000	-3.708	-2.212	-227.667	-231.375
12784	9.830	-3.672	-2.178	-221.907	-225.579
15504	36.150	-3.490	-2.205	-221.185	-224.675
1765	10.387	-3.498	-2.174	-201.251	-204.749
7581	9.990	-3.838	-2.183	-188.679	-192.517
1418	28.740	-4.071	-2.211	-188.439	-192.510
5648	32.280	-3.816	-2.209	-185.278	-189.094
2711	31.227	-3.621	-2.209	-185.032	-188.653
13694	10.373	-3.645	-2.173	-181.805	-185.450
11224	10.110	-3.752	-2.182	-178.126	-181.878
10093	29.347	-3.656	-2.210	-177.528	-181.183
12738	10.280	-3.827	-2.183	-177.097	-180.924
8329	28.707	-3.783	-2.212	-169.947	-173.730
12902	10.347	-3.645	-2.178	-161.698	-165.344
7397	9.840	-3.668	-2.179	-158.280	-161.948
7028	10.787	-3.640	-2.175	-155.239	-158.879
3081	10.280	-3.675	-2.177	-154.462	-158.138
6978	29.880	-3.748	-2.212	-153.392	-157.140
11477	31.930	-3.715	-2.210	-149.667	-153.382
893	28.567	-3.804	-2.216	-144.728	-148.533
3426	10.313	-3.687	-2.178	-143.781	-147.467
3448	9.830	-3.774	-2.181	-137.250	-141.024
12935	30.840	-3.654	-2.209	-136.882	-140.537
6810	32.020	-3.657	-2.210	-135.051	-138.708
4741	32.033	-3.586	-2.209	-132.856	-136.442
12510	9.600	-3.784	-2.182	-130.617	-134.401
6140	32.113	-3.716	-2.209	-130.485	-134.200
13281	10.080	-3.583	-2.181	-130.491	-134.075
